shirt_id,pants_id,shoes_id,rating,shirt_dominant_colours,shirt_texture_variance,shirt_brightness,shirt_vertical_symmetry,shirt_horizontal_symmetry,pants_dominant_colours,pants_texture_variance,pants_brightness,pants_vertical_symmetry,pants_horizontal_symmetry,shoes_dominant_colours,shoes_texture_variance,shoes_brightness,shoes_vertical_symmetry,shoes_horizontal_symmetry,closest_palette,palette_distance,palette_Black & Gold Elegance,palette_Coastal Vibes,palette_Cozy Neutral Retreat,palette_Deep Sea,palette_Earthy Forest Hues,palette_Earthy Green,palette_Fresh Greens,palette_Golden Twilight,palette_Light Steel,palette_Meadow Green,palette_Serene Blue,palette_Soft Lavender
shirt_3,pants_4,shoe_4,2,"[['#FAFBFB', 0.45950076605419976], ['#F4F9F3', 0.19982533211366965], ['#EFF3EA', 0.15447567636751028], ['#E8ECE1', 0.11158793436402444], ['#E1E3D6', 0.0746102911005959]]",275.63039582341366,0.93374764919281,0.9549596176470588,0.8852671862745098,"[['#333429', 0.23849742518575326], ['#2D2C20', 0.22986313626165897], ['#252316', 0.1966175921534596], ['#3A3C32', 0.1925981237996253], ['#41453E', 0.14242372259950287]]",330.7280311016533,0.1813817620277404,0.9577240196078431,0.9292536078431372,"[['#50493D', 0.2428784948127308], ['#3A3328', 0.2059961315280464], ['#F2F8F5', 0.19400240314166814], ['#625F55', 0.19304261180470078], ['#9C9681', 0.16408035871285387]]",4656.9353269826215,0.4956061840057373,0.8582295490196078,0.843341274509804,Light Steel,8.262203615655492,False,False,False,False,False,False,False,False,True,False,False,False
shirt_5,pants_3,shoe_1,3,"[['#2E445B', 0.2923425049640269], ['#253B4F', 0.27410776451172025], ['#364F69', 0.20925307511797622], ['#202E3E', 0.1376260347095077], ['#445C78', 0.08667062069676887]]",787.4744192022965,0.2749082446098327,0.9687044607843136,0.9358923039215686,"[['#475054', 0.3417186792446855], ['#575F60', 0.20843031264546896], ['#3E4142', 0.19861996459661357], ['#6B726B', 0.1433488816899892], ['#312F2A', 0.10788216182324273]]",1058.9011462143828,0.3354077041149139,0.9330392549019608,0.9064528823529412,"[['#205D97', 0.24192400979145545], ['#114271', 0.21955714389742498], ['#39587A', 0.1998509995910891], ['#595764', 0.1835953910700582], ['#092548', 0.15507245564997227]]",2260.3207358861746,0.3439382016658783,0.8849980490196078,0.887953931372549,Light Steel,8.55789717689321,False,False,False,False,False,False,False,False,True,False,False,False
shirt_2,pants_2,shoe_3,2,"[['#9D8F7B', 0.24736903139767488], ['#AEA392', 0.2098795407763894], ['#C2B9A9', 0.19082857391354768], ['#897C68', 0.18929565419070535], ['#746754', 0.16262719972168266]]",2930.690409657979,0.5455947518348694,0.8431826764705882,0.8370655196078431,"[['#395C9E', 0.39489135139107784], ['#4868AB', 0.19386896838942014], ['#405991', 0.18859645541228764], ['#5476C0', 0.12167609839483691], ['#2A4E91', 0.10096712641237747]]",319.46661568922275,0.4141088724136352,0.9434204215686274,0.9224144607843138,"[['#768173', 0.32511128792929184], ['#6B6E5D', 0.21810283649813983], ['#555240', 0.17007519551550862], ['#989D8B', 0.1482405396299721], ['#F9F9EB', 0.13847014042708758]]",3737.9100826447766,0.4837100803852081,0.8565259901960784,0.8798255392156863,Serene Blue,10.997137461096502,False,False,False,False,False,False,False,False,False,False,True,False
shirt_3,pants_1,shoe_3,3,"[['#FAFBFB', 0.45950076605419976], ['#F4F9F3', 0.19982533211366965], ['#EFF3EA', 0.15447567636751028], ['#E8ECE1', 0.11158793436402444], ['#E1E3D6', 0.0746102911005959]]",275.63039582341366,0.93374764919281,0.9549596176470588,0.8852671862745098,"[['#9DAAAC', 0.23980327822483702], ['#8C9CA2', 0.2235040801029572], ['#A9B8BC', 0.19450140717588993], ['#949389', 0.1738145073470138], ['#7D8D94', 0.16837672714930207]]",865.645130776494,0.6199805736541748,0.9236505980392156,0.8849741470588235,"[['#768173', 0.32511128792929184], ['#6B6E5D', 0.21810283649813983], ['#555240', 0.17007519551550862], ['#989D8B', 0.1482405396299721], ['#F9F9EB', 0.13847014042708758]]",3737.9100826447766,0.4837100803852081,0.8565259901960784,0.8798255392156863,Light Steel,8.073659036486527,False,False,False,False,False,False,False,False,True,False,False,False
shirt_4,pants_3,shoe_2,1,"[['#066F5E', 0.3124708999716097], ['#026352', 0.23304249077316172], ['#0A7C6D', 0.19650231853884736], ['#075144', 0.142890129648907], ['#165D51', 0.11509416106747421]]",367.6994049059732,0.275459349155426,0.9702747843137256,0.9460514705882352,"[['#475054', 0.3417186792446855], ['#575F60', 0.20843031264546896], ['#3E4142', 0.19861996459661357], ['#6B726B', 0.1433488816899892], ['#312F2A', 0.10788216182324273]]",1058.9011462143828,0.3354077041149139,0.9330392549019608,0.9064528823529412,"[['#01123C', 0.24962180117849928], ['#022551', 0.23674188327144624], ['#043669', 0.207374612544564], ['#000422', 0.1580289229532303], ['#064883', 0.1482327800522602]]",2973.874116523405,0.2349070161581039,0.9266462450980392,0.9205656176470588,Earthy Green,11.91620861494452,False,False,False,False,False,True,False,False,False,False,False,False
shirt_1,pants_4,shoe_4,1,"[['#869060', 0.2503417676961992], ['#96A37C', 0.2431912507469773], ['#76877D', 0.18094450674940038], ['#ACBB97', 0.16938580047315385], ['#7F92A9', 0.15613667433426928]]",1089.363176692902,0.5460402369499207,0.9185169509803922,0.8811384999999999,"[['#333429', 0.23849742518575326], ['#2D2C20', 0.22986313626165897], ['#252316', 0.1966175921534596], ['#3A3C32', 0.1925981237996253], ['#41453E', 0.14242372259950287]]",330.7280311016533,0.1813817620277404,0.9577240196078431,0.9292536078431372,"[['#50493D', 0.2428784948127308], ['#3A3328', 0.2059961315280464], ['#F2F8F5', 0.19400240314166814], ['#625F55', 0.19304261180470078], ['#9C9681', 0.16408035871285387]]",4656.9353269826215,0.4956061840057373,0.8582295490196078,0.843341274509804,Earthy Forest Hues,12.599998120123562,False,False,False,False,True,False,False,False,False,False,False,False
shirt_3,pants_1,shoe_1,2,"[['#FAFBFB', 0.45950076605419976], ['#F4F9F3', 0.19982533211366965], ['#EFF3EA', 0.15447567636751028], ['#E8ECE1', 0.11158793436402444], ['#E1E3D6', 0.0746102911005959]]",275.63039582341366,0.93374764919281,0.9549596176470588,0.8852671862745098,"[['#9DAAAC', 0.23980327822483702], ['#8C9CA2', 0.2235040801029572], ['#A9B8BC', 0.19450140717588993], ['#949389', 0.1738145073470138], ['#7D8D94', 0.16837672714930207]]",865.645130776494,0.6199805736541748,0.9236505980392156,0.8849741470588235,"[['#205D97', 0.24192400979145545], ['#114271', 0.21955714389742498], ['#39587A', 0.1998509995910891], ['#595764', 0.1835953910700582], ['#092548', 0.15507245564997227]]",2260.3207358861746,0.3439382016658783,0.8849980490196078,0.887953931372549,Serene Blue,7.337764384867765,False,False,False,False,False,False,False,False,False,False,True,False
shirt_5,pants_5,shoe_1,3,"[['#2E445B', 0.2923425049640269], ['#253B4F', 0.27410776451172025], ['#364F69', 0.20925307511797622], ['#202E3E', 0.1376260347095077], ['#445C78', 0.08667062069676887]]",787.4744192022965,0.2749082446098327,0.9687044607843136,0.9358923039215686,"[['#595563', 0.2788031941777014], ['#605E6E', 0.27106612178885503], ['#6B6B7D', 0.19625131767050294], ['#77788E', 0.1559804190553205], ['#87889F', 0.09789894730762011]]",921.6689735512972,0.3961658775806427,0.916499568627451,0.8883546666666666,"[['#205D97', 0.24192400979145545], ['#114271', 0.21955714389742498], ['#39587A', 0.1998509995910891], ['#595764', 0.1835953910700582], ['#092548', 0.15507245564997227]]",2260.3207358861746,0.3439382016658783,0.8849980490196078,0.887953931372549,Deep Sea,8.053383106956085,False,False,False,True,False,False,False,False,False,False,False,False
shirt_1,pants_3,shoe_2,2,"[['#869060', 0.2503417676961992], ['#96A37C', 0.2431912507469773], ['#76877D', 0.18094450674940038], ['#ACBB97', 0.16938580047315385], ['#7F92A9', 0.15613667433426928]]",1089.363176692902,0.5460402369499207,0.9185169509803922,0.8811384999999999,"[['#475054', 0.3417186792446855], ['#575F60', 0.20843031264546896], ['#3E4142', 0.19861996459661357], ['#6B726B', 0.1433488816899892], ['#312F2A', 0.10788216182324273]]",1058.9011462143828,0.3354077041149139,0.9330392549019608,0.9064528823529412,"[['#01123C', 0.24962180117849928], ['#022551', 0.23674188327144624], ['#043669', 0.207374612544564], ['#000422', 0.1580289229532303], ['#064883', 0.1482327800522602]]",2973.874116523405,0.2349070161581039,0.9266462450980392,0.9205656176470588,Earthy Green,12.201734704207189,False,False,False,False,False,True,False,False,False,False,False,False
shirt_4,pants_4,shoe_1,1,"[['#066F5E', 0.3124708999716097], ['#026352', 0.23304249077316172], ['#0A7C6D', 0.19650231853884736], ['#075144', 0.142890129648907], ['#165D51', 0.11509416106747421]]",367.6994049059732,0.275459349155426,0.9702747843137256,0.9460514705882352,"[['#333429', 0.23849742518575326], ['#2D2C20', 0.22986313626165897], ['#252316', 0.1966175921534596], ['#3A3C32', 0.1925981237996253], ['#41453E', 0.14242372259950287]]",330.7280311016533,0.1813817620277404,0.9577240196078431,0.9292536078431372,"[['#205D97', 0.24192400979145545], ['#114271', 0.21955714389742498], ['#39587A', 0.1998509995910891], ['#595764', 0.1835953910700582], ['#092548', 0.15507245564997227]]",2260.3207358861746,0.3439382016658783,0.8849980490196078,0.887953931372549,Earthy Green,12.8084891298192,False,False,False,False,False,True,False,False,False,False,False,False
shirt_1,pants_3,shoe_4,1,"[['#869060', 0.2503417676961992], ['#96A37C', 0.2431912507469773], ['#76877D', 0.18094450674940038], ['#ACBB97', 0.16938580047315385], ['#7F92A9', 0.15613667433426928]]",1089.363176692902,0.5460402369499207,0.9185169509803922,0.8811384999999999,"[['#475054', 0.3417186792446855], ['#575F60', 0.20843031264546896], ['#3E4142', 0.19861996459661357], ['#6B726B', 0.1433488816899892], ['#312F2A', 0.10788216182324273]]",1058.9011462143828,0.3354077041149139,0.9330392549019608,0.9064528823529412,"[['#50493D', 0.2428784948127308], ['#3A3328', 0.2059961315280464], ['#F2F8F5', 0.19400240314166814], ['#625F55', 0.19304261180470078], ['#9C9681', 0.16408035871285387]]",4656.9353269826215,0.4956061840057373,0.8582295490196078,0.843341274509804,Earthy Green,11.250299505135072,False,False,False,False,False,True,False,False,False,False,False,False
shirt_3,pants_2,shoe_4,2,"[['#FAFBFB', 0.45950076605419976], ['#F4F9F3', 0.19982533211366965], ['#EFF3EA', 0.15447567636751028], ['#E8ECE1', 0.11158793436402444], ['#E1E3D6', 0.0746102911005959]]",275.63039582341366,0.93374764919281,0.9549596176470588,0.8852671862745098,"[['#395C9E', 0.39489135139107784], ['#4868AB', 0.19386896838942014], ['#405991', 0.18859645541228764], ['#5476C0', 0.12167609839483691], ['#2A4E91', 0.10096712641237747]]",319.46661568922275,0.4141088724136352,0.9434204215686274,0.9224144607843138,"[['#50493D', 0.2428784948127308], ['#3A3328', 0.2059961315280464], ['#F2F8F5', 0.19400240314166814], ['#625F55', 0.19304261180470078], ['#9C9681', 0.16408035871285387]]",4656.9353269826215,0.4956061840057373,0.8582295490196078,0.843341274509804,Deep Sea,9.931490299516666,False,False,False,True,False,False,False,False,False,False,False,False
shirt_5,pants_2,shoe_2,5,"[['#2E445B', 0.2923425049640269], ['#253B4F', 0.27410776451172025], ['#364F69', 0.20925307511797622], ['#202E3E', 0.1376260347095077], ['#445C78', 0.08667062069676887]]",787.4744192022965,0.2749082446098327,0.9687044607843136,0.9358923039215686,"[['#395C9E', 0.39489135139107784], ['#4868AB', 0.19386896838942014], ['#405991', 0.18859645541228764], ['#5476C0', 0.12167609839483691], ['#2A4E91', 0.10096712641237747]]",319.46661568922275,0.4141088724136352,0.9434204215686274,0.9224144607843138,"[['#01123C', 0.24962180117849928], ['#022551', 0.23674188327144624], ['#043669', 0.207374612544564], ['#000422', 0.1580289229532303], ['#064883', 0.1482327800522602]]",2973.874116523405,0.2349070161581039,0.9266462450980392,0.9205656176470588,Deep Sea,7.243480816100415,False,False,False,True,False,False,False,False,False,False,False,False
shirt_2,pants_3,shoe_1,1,"[['#9D8F7B', 0.24736903139767488], ['#AEA392', 0.2098795407763894], ['#C2B9A9', 0.19082857391354768], ['#897C68', 0.18929565419070535], ['#746754', 0.16262719972168266]]",2930.690409657979,0.5455947518348694,0.8431826764705882,0.8370655196078431,"[['#475054', 0.3417186792446855], ['#575F60', 0.20843031264546896], ['#3E4142', 0.19861996459661357], ['#6B726B', 0.1433488816899892], ['#312F2A', 0.10788216182324273]]",1058.9011462143828,0.3354077041149139,0.9330392549019608,0.9064528823529412,"[['#205D97', 0.24192400979145545], ['#114271', 0.21955714389742498], ['#39587A', 0.1998509995910891], ['#595764', 0.1835953910700582], ['#092548', 0.15507245564997227]]",2260.3207358861746,0.3439382016658783,0.8849980490196078,0.887953931372549,Light Steel,11.141367359464445,False,False,False,False,False,False,False,False,True,False,False,False
shirt_5,pants_4,shoe_2,1,"[['#2E445B', 0.2923425049640269], ['#253B4F', 0.27410776451172025], ['#364F69', 0.20925307511797622], ['#202E3E', 0.1376260347095077], ['#445C78', 0.08667062069676887]]",787.4744192022965,0.2749082446098327,0.9687044607843136,0.9358923039215686,"[['#333429', 0.23849742518575326], ['#2D2C20', 0.22986313626165897], ['#252316', 0.1966175921534596], ['#3A3C32', 0.1925981237996253], ['#41453E', 0.14242372259950287]]",330.7280311016533,0.1813817620277404,0.9577240196078431,0.9292536078431372,"[['#01123C', 0.24962180117849928], ['#022551', 0.23674188327144624], ['#043669', 0.207374612544564], ['#000422', 0.1580289229532303], ['#064883', 0.1482327800522602]]",2973.874116523405,0.2349070161581039,0.9266462450980392,0.9205656176470588,Golden Twilight,10.296726819176001,False,False,False,False,False,False,False,True,False,False,False,False
shirt_1,pants_2,shoe_2,2,"[['#869060', 0.2503417676961992], ['#96A37C', 0.2431912507469773], ['#76877D', 0.18094450674940038], ['#ACBB97', 0.16938580047315385], ['#7F92A9', 0.15613667433426928]]",1089.363176692902,0.5460402369499207,0.9185169509803922,0.8811384999999999,"[['#395C9E', 0.39489135139107784], ['#4868AB', 0.19386896838942014], ['#405991', 0.18859645541228764], ['#5476C0', 0.12167609839483691], ['#2A4E91', 0.10096712641237747]]",319.46661568922275,0.4141088724136352,0.9434204215686274,0.9224144607843138,"[['#01123C', 0.24962180117849928], ['#022551', 0.23674188327144624], ['#043669', 0.207374612544564], ['#000422', 0.1580289229532303], ['#064883', 0.1482327800522602]]",2973.874116523405,0.2349070161581039,0.9266462450980392,0.9205656176470588,Deep Sea,11.579476607600443,False,False,False,True,False,False,False,False,False,False,False,False
shirt_4,pants_2,shoe_3,2,"[['#066F5E', 0.3124708999716097], ['#026352', 0.23304249077316172], ['#0A7C6D', 0.19650231853884736], ['#075144', 0.142890129648907], ['#165D51', 0.11509416106747421]]",367.6994049059732,0.275459349155426,0.9702747843137256,0.9460514705882352,"[['#395C9E', 0.39489135139107784], ['#4868AB', 0.19386896838942014], ['#405991', 0.18859645541228764], ['#5476C0', 0.12167609839483691], ['#2A4E91', 0.10096712641237747]]",319.46661568922275,0.4141088724136352,0.9434204215686274,0.9224144607843138,"[['#768173', 0.32511128792929184], ['#6B6E5D', 0.21810283649813983], ['#555240', 0.17007519551550862], ['#989D8B', 0.1482405396299721], ['#F9F9EB', 0.13847014042708758]]",3737.9100826447766,0.4837100803852081,0.8565259901960784,0.8798255392156863,Earthy Green,13.855640746664921,False,False,False,False,False,True,False,False,False,False,False,False
shirt_4,pants_2,shoe_2,2,"[['#066F5E', 0.3124708999716097], ['#026352', 0.23304249077316172], ['#0A7C6D', 0.19650231853884736], ['#075144', 0.142890129648907], ['#165D51', 0.11509416106747421]]",367.6994049059732,0.275459349155426,0.9702747843137256,0.9460514705882352,"[['#395C9E', 0.39489135139107784], ['#4868AB', 0.19386896838942014], ['#405991', 0.18859645541228764], ['#5476C0', 0.12167609839483691], ['#2A4E91', 0.10096712641237747]]",319.46661568922275,0.4141088724136352,0.9434204215686274,0.9224144607843138,"[['#01123C', 0.24962180117849928], ['#022551', 0.23674188327144624], ['#043669', 0.207374612544564], ['#000422', 0.1580289229532303], ['#064883', 0.1482327800522602]]",2973.874116523405,0.2349070161581039,0.9266462450980392,0.9205656176470588,Deep Sea,13.318218449393923,False,False,False,True,False,False,False,False,False,False,False,False
shirt_2,pants_4,shoe_4,1,"[['#9D8F7B', 0.24736903139767488], ['#AEA392', 0.2098795407763894], ['#C2B9A9', 0.19082857391354768], ['#897C68', 0.18929565419070535], ['#746754', 0.16262719972168266]]",2930.690409657979,0.5455947518348694,0.8431826764705882,0.8370655196078431,"[['#333429', 0.23849742518575326], ['#2D2C20', 0.22986313626165897], ['#252316', 0.1966175921534596], ['#3A3C32', 0.1925981237996253], ['#41453E', 0.14242372259950287]]",330.7280311016533,0.1813817620277404,0.9577240196078431,0.9292536078431372,"[['#50493D', 0.2428784948127308], ['#3A3328', 0.2059961315280464], ['#F2F8F5', 0.19400240314166814], ['#625F55', 0.19304261180470078], ['#9C9681', 0.16408035871285387]]",4656.9353269826215,0.4956061840057373,0.8582295490196078,0.843341274509804,Light Steel,12.362737860483099,False,False,False,False,False,False,False,False,True,False,False,False
shirt_1,pants_5,shoe_1,4,"[['#869060', 0.2503417676961992], ['#96A37C', 0.2431912507469773], ['#76877D', 0.18094450674940038], ['#ACBB97', 0.16938580047315385], ['#7F92A9', 0.15613667433426928]]",1089.363176692902,0.5460402369499207,0.9185169509803922,0.8811384999999999,"[['#595563', 0.2788031941777014], ['#605E6E', 0.27106612178885503], ['#6B6B7D', 0.19625131767050294], ['#77788E', 0.1559804190553205], ['#87889F', 0.09789894730762011]]",921.6689735512972,0.3961658775806427,0.916499568627451,0.8883546666666666,"[['#205D97', 0.24192400979145545], ['#114271', 0.21955714389742498], ['#39587A', 0.1998509995910891], ['#595764', 0.1835953910700582], ['#092548', 0.15507245564997227]]",2260.3207358861746,0.3439382016658783,0.8849980490196078,0.887953931372549,Deep Sea,12.389378898456112,False,False,False,True,False,False,False,False,False,False,False,False
shirt_3,pants_3,shoe_2,1,"[['#FAFBFB', 0.45950076605419976], ['#F4F9F3', 0.19982533211366965], ['#EFF3EA', 0.15447567636751028], ['#E8ECE1', 0.11158793436402444], ['#E1E3D6', 0.0746102911005959]]",275.63039582341366,0.93374764919281,0.9549596176470588,0.8852671862745098,"[['#475054', 0.3417186792446855], ['#575F60', 0.20843031264546896], ['#3E4142', 0.19861996459661357], ['#6B726B', 0.1433488816899892], ['#312F2A', 0.10788216182324273]]",1058.9011462143828,0.3354077041149139,0.9330392549019608,0.9064528823529412,"[['#01123C', 0.24962180117849928], ['#022551', 0.23674188327144624], ['#043669', 0.207374612544564], ['#000422', 0.1580289229532303], ['#064883', 0.1482327800522602]]",2973.874116523405,0.2349070161581039,0.9266462450980392,0.9205656176470588,Light Steel,7.960645440622399,False,False,False,False,False,False,False,False,True,False,False,False
shirt_2,pants_4,shoe_3,1,"[['#9D8F7B', 0.24736903139767488], ['#AEA392', 0.2098795407763894], ['#C2B9A9', 0.19082857391354768], ['#897C68', 0.18929565419070535], ['#746754', 0.16262719972168266]]",2930.690409657979,0.5455947518348694,0.8431826764705882,0.8370655196078431,"[['#333429', 0.23849742518575326], ['#2D2C20', 0.22986313626165897], ['#252316', 0.1966175921534596], ['#3A3C32', 0.1925981237996253], ['#41453E', 0.14242372259950287]]",330.7280311016533,0.1813817620277404,0.9577240196078431,0.9292536078431372,"[['#768173', 0.32511128792929184], ['#6B6E5D', 0.21810283649813983], ['#555240', 0.17007519551550862], ['#989D8B', 0.1482405396299721], ['#F9F9EB', 0.13847014042708758]]",3737.9100826447766,0.4837100803852081,0.8565259901960784,0.8798255392156863,Cozy Neutral Retreat,12.129442216115304,False,False,True,False,False,False,False,False,False,False,False,False
shirt_1,pants_2,shoe_4,2,"[['#869060', 0.2503417676961992], ['#96A37C', 0.2431912507469773], ['#76877D', 0.18094450674940038], ['#ACBB97', 0.16938580047315385], ['#7F92A9', 0.15613667433426928]]",1089.363176692902,0.5460402369499207,0.9185169509803922,0.8811384999999999,"[['#395C9E', 0.39489135139107784], ['#4868AB', 0.19386896838942014], ['#405991', 0.18859645541228764], ['#5476C0', 0.12167609839483691], ['#2A4E91', 0.10096712641237747]]",319.46661568922275,0.4141088724136352,0.9434204215686274,0.9224144607843138,"[['#50493D', 0.2428784948127308], ['#3A3328', 0.2059961315280464], ['#F2F8F5', 0.19400240314166814], ['#625F55', 0.19304261180470078], ['#9C9681', 0.16408035871285387]]",4656.9353269826215,0.4956061840057373,0.8582295490196078,0.843341274509804,Serene Blue,13.057541656278039,False,False,False,False,False,False,False,False,False,False,True,False
shirt_5,pants_4,shoe_4,2,"[['#2E445B', 0.2923425049640269], ['#253B4F', 0.27410776451172025], ['#364F69', 0.20925307511797622], ['#202E3E', 0.1376260347095077], ['#445C78', 0.08667062069676887]]",787.4744192022965,0.2749082446098327,0.9687044607843136,0.9358923039215686,"[['#333429', 0.23849742518575326], ['#2D2C20', 0.22986313626165897], ['#252316', 0.1966175921534596], ['#3A3C32', 0.1925981237996253], ['#41453E', 0.14242372259950287]]",330.7280311016533,0.1813817620277404,0.9577240196078431,0.9292536078431372,"[['#50493D', 0.2428784948127308], ['#3A3328', 0.2059961315280464], ['#F2F8F5', 0.19400240314166814], ['#625F55', 0.19304261180470078], ['#9C9681', 0.16408035871285387]]",4656.9353269826215,0.4956061840057373,0.8582295490196078,0.843341274509804,Light Steel,9.779267677911866,False,False,False,False,False,False,False,False,True,False,False,False
shirt_2,pants_2,shoe_4,1,"[['#9D8F7B', 0.24736903139767488], ['#AEA392', 0.2098795407763894], ['#C2B9A9', 0.19082857391354768], ['#897C68', 0.18929565419070535], ['#746754', 0.16262719972168266]]",2930.690409657979,0.5455947518348694,0.8431826764705882,0.8370655196078431,"[['#395C9E', 0.39489135139107784], ['#4868AB', 0.19386896838942014], ['#405991', 0.18859645541228764], ['#5476C0', 0.12167609839483691], ['#2A4E91', 0.10096712641237747]]",319.46661568922275,0.4141088724136352,0.9434204215686274,0.9224144607843138,"[['#50493D', 0.2428784948127308], ['#3A3328', 0.2059961315280464], ['#F2F8F5', 0.19400240314166814], ['#625F55', 0.19304261180470078], ['#9C9681', 0.16408035871285387]]",4656.9353269826215,0.4956061840057373,0.8582295490196078,0.843341274509804,Serene Blue,12.504789092890588,False,False,False,False,False,False,False,False,False,False,True,False
shirt_1,pants_5,shoe_4,2,"[['#869060', 0.2503417676961992], ['#96A37C', 0.2431912507469773], ['#76877D', 0.18094450674940038], ['#ACBB97', 0.16938580047315385], ['#7F92A9', 0.15613667433426928]]",1089.363176692902,0.5460402369499207,0.9185169509803922,0.8811384999999999,"[['#595563', 0.2788031941777014], ['#605E6E', 0.27106612178885503], ['#6B6B7D', 0.19625131767050294], ['#77788E', 0.1559804190553205], ['#87889F', 0.09789894730762011]]",921.6689735512972,0.3961658775806427,0.916499568627451,0.8883546666666666,"[['#50493D', 0.2428784948127308], ['#3A3328', 0.2059961315280464], ['#F2F8F5', 0.19400240314166814], ['#625F55', 0.19304261180470078], ['#9C9681', 0.16408035871285387]]",4656.9353269826215,0.4956061840057373,0.8582295490196078,0.843341274509804,Light Steel,13.021768340115452,False,False,False,False,False,False,False,False,True,False,False,False
